어휘,분류,난이도
학문적,학습도구어,2
학설,학습도구어,4
학술,학습도구어,3
한계,학습도구어,2
한계성,학습도구어,5
한계점,학습도구어,6
한정,학습도구어,4
한정되다,학습도구어,3
한정하다,학습도구어,3
함의,학습도구어,5
합계,학습도구어,3
합리,학습도구어,4
합리성,학습도구어,5
합리적,학습도구어,3
합리화,학습도구어,4
합리화되다,학습도구어,5
합리화하다,학습도구어,4
합성,학습도구어,2
합성되다,학습도구어,3
합성하다,학습도구어,3
합의,학습도구어,4
합의되다,학습도구어,5
합의하다,학습도구어,4
항목,학습도구어,3
해결,학습도구어,2
해결되다,학습도구어,3
해결책,학습도구어,4
해결하다,학습도구어,2
해답,학습도구어,3
해당,학습도구어,3
해당되다,학습도구어,3
해당하다,학습도구어,2
해석되다,학습도구어,4
해소,학습도구어,4
해소되다,학습도구어,4
해소하다,학습도구어,4
핵심,학습도구어,2
핵심적,학습도구어,3
행하다,학습도구어,2
향상,학습도구어,3
향상되다,학습도구어,3
향상하다,학습도구어,4
허용,학습도구어,3
허용되다,학습도구어,3
허용하다,학습도구어,3
현대,학습도구어,3
현대성,학습도구어,5
현대적,학습도구어,3
현대화,학습도구어,4
현대화되다,학습도구어,4
현대화하다,학습도구어,5
현상,학습도구어,4
현실,학습도구어,2
현실성,학습도구어,4
현실적,학습도구어,2
현실화,학습도구어,5
현실화되다,학습도구어,5
현실화하다,학습도구어,4
현장,학습도구어,4
현저,학습도구어,4
현저하다,학습도구어,4
현황,학습도구어,4
협력,학습도구어,2
협력하다,학습도구어,3
형상,학습도구어,4
형상성,학습도구어,7
형상화,학습도구어,4
형상화되다,학습도구어,5
형상화하다,학습도구어,5
형성,학습도구어,3
형성되다,학습도구어,4
형성하다,학습도구어,4
형식,학습도구어,2
형식적,학습도구어,3
형식화,학습도구어,5
형식화되다,학습도구어,5
형식화하다,학습도구어,5
형태,학습도구어,3
혼란,학습도구어,2
혼란스럽다,학습도구어,3
혼합,학습도구어,3
혼합되다,학습도구어,3
혼합하다,학습도구어,4
확고,학습도구어,4
확고하다,학습도구어,4
확대,학습도구어,3
확대되다,학습도구어,3
확대하다,학습도구어,3
확률,학습도구어,4
확립,학습도구어,4
확립되다,학습도구어,4
확립하다,학습도구어,4
확보,학습도구어,4
확보되다,학습도구어,5
확보하다,학습도구어,4
확산,학습도구어,4
확산되다,학습도구어,5
확산하다,학습도구어,4
확실,학습도구어,2
확실하다,학습도구어,2
확인,학습도구어,3
확인되다,학습도구어,3
확인하다,학습도구어,2
확장,학습도구어,3
확장되다,학습도구어,3
확장하다,학습도구어,3
확정,학습도구어,4
확정되다,학습도구어,3
확정하다,학습도구어,4
확충,학습도구어,5
확충되다,학습도구어,5
확충하다,학습도구어,5
환경,학습도구어,2
환경적,학습도구어,2
활동,학습도구어,1
활동성,학습도구어,5
활동적,학습도구어,2
활동하다,학습도구어,2
활발,학습도구어,2
활발하다,학습도구어,2
활성화,학습도구어,5
활성화되다,학습도구어,5
활성화하다,학습도구어,5
활용,학습도구어,3
활용되다,학습도구어,3
활용하다,학습도구어,3
회복,학습도구어,2
회복되다,학습도구어,3
회복하다,학습도구어,3
획기적,학습도구어,3
획득,학습도구어,3
획득되다,학습도구어,4
획득하다,학습도구어,3
효과,학습도구어,2
효과적,학습도구어,2
효용,학습도구어,4
효율,학습도구어,4
효율성,학습도구어,5
효율적,학습도구어,3
후반,학습도구어,4
후자,학습도구어,4
흡수,학습도구어,2
흡수되다,학습도구어,3
흡수성,학습도구어,6
흡수하다,학습도구어,3
